file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\aryan\Downloads\bazel-master\bazel-master\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\Category2Value.java,proguard.evaluation.value.Category2Value,class,2,7,5,2,2,2,2,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\shell\CommandTest.java,com.google.devtools.build.lib.shell.CommandTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\packages\producers\GlobError.java,com.google.devtools.build.lib.packages.producers.GlobError$Kind,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\shell\CommandTest.java,com.google.devtools.build.lib.shell.CommandTest$Anonymous2,anonymous,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,1,0,0,0,0,8,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\skyframe\StateMachineTest.java,com.google.devtools.build.skyframe.StateMachineTest$LookupType,enum,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,2,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\java_tools\junitrunner\javatests\com\google\testing\junit\runner\internal\junit4\CancellableRequestFactoryTest.java,com.google.testing.junit.runner.internal.junit4.CancellableRequestFactoryTest$Anonymous6,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\buildtool\ExecutionProgressReceiver.java,com.google.devtools.build.lib.buildtool.ExecutionProgressReceiver$Anonymous1,anonymous,0,0,0,0,5,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19,4,1,0,0,0,0,4,3,1,3,2,0,0,0,15,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\shell\FutureConsumptionTest.java,com.google.devtools.build.lib.shell.FutureConsumptionTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\java_tools\junitrunner\javatests\com\google\testing\junit\runner\internal\junit4\CancellableRequestFactoryTest.java,com.google.testing.junit.runner.internal.junit4.CancellableRequestFactoryTest$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\java_tools\junitrunner\javatests\com\google\testing\junit\runner\internal\junit4\CancellableRequestFactoryTest.java,com.google.testing.junit.runner.internal.junit4.CancellableRequestFactoryTest$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\shell\FutureConsumptionTest.java,com.google.devtools.build.lib.shell.FutureConsumptionTest$Anonymous3,anonymous,0,0,0,0,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,2,0,0,2,0,0,0,1,0,0,0,5,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\java_tools\junitrunner\javatests\com\google\testing\junit\runner\internal\junit4\CancellableRequestFactoryTest.java,com.google.testing.junit.runner.internal.junit4.CancellableRequestFactoryTest$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\buildtool\ExecutionProgressReceiver.java,com.google.devtools.build.lib.buildtool.ExecutionProgressReceiver$Anonymous2,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\shell\FutureConsumptionTest.java,com.google.devtools.build.lib.shell.FutureConsumptionTest$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,-1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\query2\engine\MnemonicFunction.java,com.google.devtools.build.lib.query2.engine.MnemonicFunction,class,2,2,0,2,2,2,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,1,0,1,0,1,0,0,0,0,47,1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\remote\util\TestUtils.java,com.google.devtools.build.lib.remote.util.TestUtils$ZeroDelayListeningScheduledExecutorService,innerclass,5,5,0,5,18,1,0,12,0,0.0,1.0,1.0,18,0,17,0,0,1,18,0,0,0,1,0,0,1,0,0,1,0,0,57,15,0,0,0,0,0,6,1,0,1,0,0,0,0,46,10,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\third_party\jarjar\java\com\tonicsystems\jarjar\MainProcessor.java,com.tonicsystems.jarjar.MainProcessor,class,17,21,4,17,20,1,0,18,0,0.3125,1.0,1.0,4,0,3,1,0,0,3,0,0,0,4,0,0,4,0,0,4,0,2,74,3,2,4,0,1,4,0,15,3,15,3,0,0,0,78,0,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\events\NullEventHandler.java,com.google.devtools.build.lib.events.NullEventHandler,class,4,5,1,4,3,1,0,0,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,17,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\rules\repository\NewRepositoryFileHandler.java,com.google.devtools.build.lib.rules.repository.NewRepositoryFileHandler$NewRepositoryWorkspaceFileHandler,innerclass,3,3,0,3,4,2,0,3,6,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,0,0,5,0,0,1,0,0,0,0,0,41,9,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\packages\BuildFileNotFoundException.java,com.google.devtools.build.lib.packages.BuildFileNotFoundException,class,3,5,2,3,3,5,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\com\google\devtools\build\lib\analysis\util\ScratchAttributeWriter.java,com.google.devtools.build.lib.analysis.util.ScratchAttributeWriter$IntegerAttribute,innerclass,1,1,0,1,2,2,0,2,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,14,10,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\java_tools\junitrunner\java\com\google\testing\junit\runner\junit4\JUnit4TestModelBuilder.java,com.google.testing.junit.runner.junit4.JUnit4TestModelBuilder,class,7,9,2,7,3,1,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,19,2,0,0,0,0,0,0,4,0,4,1,0,0,0,27,0,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\test\java\net\starlark\java\eval\StarlarkClassTest.java,net.starlark.java.eval.StarlarkClassTest,class,3,4,1,3,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,64,13,0,0,0,0,0,0,2,21,17,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\attribute\annotation\target\TypeParameterBoundTargetInfo.java,proguard.classfile.attribute.annotation.target.TypeParameterBoundTargetInfo,class,6,11,5,6,6,2,0,3,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\remote\RemoteActionFileSystem.java,com.google.devtools.build.lib.remote.RemoteActionFileSystem,class,36,47,11,36,119,4,0,89,488,0.8883648,0.37979797,0.5010101,53,1,14,8,27,4,45,0,0,0,12,1,0,12,0,0,11,0,5,610,63,4,21,19,5,13,1,76,3,45,4,2,5,1,324,1,0
C:\Users\aryan\Downloads\bazel-master\bazel-master\src\main\java\com\google\devtools\build\lib\worker\WorkerPoolImplLegacy.java,com.google.devtools.build.lib.worker.WorkerPoolImplLegacy$CandidateEvictionPolicy,innerclass,4,4,0,4,4,1,0,11,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,21,3,0,0,0,0,1,0,3,0,3,1,0,0,0,26,10,1
