file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\io\antmedia\shutdown\AMSShutdownManager.java,io.antmedia.shutdown.AMSShutdownManager,class,3,6,3,3,8,1,0,5,4,0.7,0.5,0.5,5,1,4,1,0,0,4,0,0,1,4,1,0,3,1,0,0,0,0,30,2,1,0,1,0,0,0,5,0,4,3,0,0,0,24,1,1
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\net\rtmp\message\Header.java,org.red5.server.net.rtmp.message.Header,class,2,10,8,2,32,1,0,22,0,0.673913,0.50988144,1.0,23,0,23,0,0,0,23,0,0,0,8,1,0,8,0,0,1,0,0,118,15,0,6,0,4,9,6,28,15,12,1,0,1,0,73,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\test\java\io\antmedia\test\rest\PlaylistRestServiceV2UnitTest.java,io.antmedia.test.rest.PlaylistRestServiceV2UnitTest,class,23,23,0,23,16,1,0,63,0,0.41666666,0.7777778,0.7777778,8,0,8,0,0,0,9,0,0,0,3,0,1,0,0,2,0,0,3,309,0,0,0,7,0,35,5,105,0,80,1,0,0,0,88,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\api\persistence\IPersistenceStore.java,org.red5.server.api.persistence.IPersistenceStore,interface,1,7,6,1,8,1,0,0,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\net\rtmp\event\ClientNotifyEvent.java,org.red5.server.net.rtmp.event.ClientNotifyEvent,class,2,4,2,2,7,2,0,1,3,0.42857143,0.42857143,0.47619048,7,1,6,0,1,0,7,0,1,0,2,0,0,2,0,0,2,0,1,27,5,0,0,0,0,3,0,3,1,3,0,0,0,0,37,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\webrtc\VideoDecoder.java,org.webrtc.VideoDecoder,interface,6,10,4,6,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,1,0,0,0,0,0,3,0,110,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\io\antmedia\shutdown\IShutdownListener.java,io.antmedia.shutdown.IShutdownListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\webrtc\MediaSource.java,org.webrtc.MediaSource,class,4,7,3,4,9,1,2,6,0,0.42857146,0.8,1.0,7,1,3,2,1,1,5,0,0,0,2,0,0,2,0,0,1,0,2,41,2,0,1,1,0,1,2,3,0,2,2,0,1,1,52,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\red5\server\service\PendingCall.java,org.red5.server.service.PendingCall,class,3,4,1,3,12,2,0,7,37,0.7878788,0.16363636,0.16363636,11,0,11,0,0,0,11,0,0,0,3,1,0,3,0,0,1,0,0,40,2,0,1,0,0,0,1,4,0,3,0,0,0,0,74,1,0
C:\Users\aryan\Downloads\Ant-Media-Server-master\Ant-Media-Server-master\src\main\java\org\webrtc\VideoEncoderFactory.java,org.webrtc.VideoEncoderFactory$VideoEncoderSelector,interface,3,3,0,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,41,1,0
